#p2     Counts
-0.44 2
-0.42 1
-0.41 1
-0.4 1
-0.39 2
-0.38 4
-0.37 6
-0.36 6
-0.35 9
-0.34 10
-0.33 13
-0.32 14
-0.31 19
-0.3 23
-0.29 33
-0.28 37
-0.27 68
-0.26 80
-0.25 91
-0.24 136
-0.23 127
-0.22 184
-0.21 230
-0.2 284
-0.19 337
-0.18 399
-0.17 500
-0.16 602
-0.15 705
-0.14 808
-0.13 955
-0.12 1048
-0.11 1286
-0.1 1492
-0.09 1576
-0.08 1703
-0.07 1892
-0.06 2025
-0.05 2207
-0.04 2362
-0.03 2416
-0.02 2706
-0.01 2704
0 2800
0.01 2919
0.02 2956
0.03 2969
0.04 3041
0.05 3014
0.06 3035
0.07 2891
0.08 2853
0.09 2783
0.1 2725
0.11 2641
0.12 2494
0.13 2433
0.14 2247
0.15 2189
0.16 2072
0.17 2053
0.18 1916
0.19 1813
0.2 1635
0.21 1603
0.22 1454
0.23 1427
0.24 1272
0.25 1245
0.26 1125
0.27 1164
0.28 1051
0.29 928
0.3 882
0.31 817
0.32 787
0.33 811
0.34 736
0.35 665
0.36 658
0.37 632
0.38 592
0.39 594
0.4 539
0.41 528
0.42 488
0.43 518
0.44 468
0.45 496
0.46 477
0.47 452
0.48 473
0.49 438
0.5 411
0.51 471
0.52 443
0.53 466
0.54 463
0.55 449
0.56 428
0.57 478
0.58 448
0.59 412
0.6 438
0.61 453
0.62 433
0.63 399
0.64 488
0.65 461
0.66 471
0.67 431
0.68 460
0.69 434
0.7 472
0.71 476
0.72 477
0.73 525
0.74 464
0.75 521
0.76 455
0.77 501
0.78 451
0.79 491
0.8 477
0.81 512
0.82 534
0.83 509
0.84 516
0.85 463
0.86 474
0.87 512
0.88 530
0.89 531
0.9 561
0.91 542
0.92 577
0.93 650
0.94 712
0.95 612
0.96 604
0.97 329
0.98 42
