#Step TotalEnergy Pressure AcceptanceRatio Temperature LongRangeCorrection Density
0 4707.97 69.0264 1 0.85 -139.599 0.900232
10000 -2240.93 10.9197 0.362964 0.85 -139.599 0.900232
20000 -2715.84 6.50453 0.364832 0.85 -139.599 0.900232
30000 -2872.76 4.85616 0.370954 0.85 -139.599 0.900232
40000 -2958.49 3.93823 0.381815 0.85 -139.599 0.900232
50000 -3010.09 3.35765 0.388912 0.85 -139.599 0.900232
60000 -3030.45 3.21521 0.39341 0.85 -139.599 0.900232
70000 -3056.45 2.85966 0.39678 0.85 -139.599 0.900232
80000 -3055.99 2.88245 0.400945 0.85 -139.599 0.900232
90000 -3078.34 2.6712 0.40494 0.85 -139.599 0.900232
100000 -3068.33 2.71148 0.407246 0.85 -139.599 0.900232
110000 -3100.85 2.41097 0.409251 0.85 -139.599 0.900232
120000 -3089.41 2.51996 0.411538 0.85 -139.599 0.900232
130000 -3101.55 2.44234 0.413589 0.85 -139.599 0.900232
140000 -3136.41 2.07469 0.41574 0.85 -139.599 0.900232
150000 -3108.91 2.27364 0.416397 0.85 -139.599 0.900232
160000 -3095.13 2.50401 0.417572 0.85 -139.599 0.900232
170000 -3105.06 2.35328 0.418374 0.85 -139.599 0.900232
180000 -3095.8 2.4576 0.419442 0.85 -139.599 0.900232
190000 -3103.24 2.40045 0.420345 0.85 -139.599 0.900232
200000 -3121.87 2.27491 0.421018 0.85 -139.599 0.900232
210000 -3126.57 2.19625 0.421593 0.85 -139.599 0.900232
220000 -3104.37 2.4324 0.422375 0.85 -139.599 0.900232
230000 -3061.63 2.7549 0.422503 0.85 -139.599 0.900232
240000 -3063.89 2.85635 0.422857 0.85 -139.599 0.900232
250000 -3092.34 2.5536 0.423178 0.85 -139.599 0.900232
260000 -3066.37 2.87396 0.42386 0.85 -139.599 0.900232
270000 -3101.98 2.49915 0.423947 0.85 -139.599 0.900232
280000 -3093.34 2.57722 0.424231 0.85 -139.599 0.900232
290000 -3108.38 2.36677 0.424368 0.85 -139.599 0.900232
300000 -3120.75 2.26848 0.425012 0.85 -139.599 0.900232
310000 -3123.86 2.21386 0.425373 0.85 -139.599 0.900232
320000 -3115.74 2.34396 0.425524 0.85 -139.599 0.900232
330000 -3116.54 2.33751 0.425738 0.85 -139.599 0.900232
340000 -3094.19 2.45923 0.425899 0.85 -139.599 0.900232
350000 -3144.07 1.96487 0.426239 0.85 -139.599 0.900232
360000 -3092.48 2.42928 0.426996 0.85 -139.599 0.900232
370000 -3103.75 2.32836 0.427326 0.85 -139.599 0.900232
380000 -3119.69 2.172 0.427741 0.85 -139.599 0.900232
390000 -3146.03 1.93823 0.428019 0.85 -139.599 0.900232
400000 -3100.32 2.37804 0.428516 0.85 -139.599 0.900232
410000 -3096.52 2.4417 0.428765 0.85 -139.599 0.900232
420000 -3121.83 2.25732 0.428949 0.85 -139.599 0.900232
430000 -3156.66 1.85492 0.42935 0.85 -139.599 0.900232
440000 -3135.08 2.07006 0.429583 0.85 -139.599 0.900232
450000 -3115.13 2.26739 0.429857 0.85 -139.599 0.900232
460000 -3101.21 2.38695 0.429988 0.85 -139.599 0.900232
470000 -3159.74 1.79314 0.430316 0.85 -139.599 0.900232
480000 -3125.77 2.13973 0.430485 0.85 -139.599 0.900232
490000 -3135.48 2.15008 0.430605 0.85 -139.599 0.900232
500000 -3138.39 2.02902 0.430669 0.85 -139.599 0.900232
510000 -3122.51 2.21186 0.430782 0.85 -139.599 0.900232
520000 -3107.05 2.39507 0.431028 0.85 -139.599 0.900232
530000 -3083.54 2.57885 0.431256 0.85 -139.599 0.900232
540000 -3109.14 2.35246 0.431383 0.85 -139.599 0.900232
550000 -3101.34 2.41408 0.431459 0.85 -139.599 0.900232
560000 -3121.49 2.23859 0.43161 0.85 -139.599 0.900232
570000 -3065.59 2.80651 0.43172 0.85 -139.599 0.900232
580000 -3065.74 2.69512 0.431715 0.85 -139.599 0.900232
590000 -3073.47 2.70202 0.43173 0.85 -139.599 0.900232
600000 -3099.32 2.50568 0.431664 0.85 -139.599 0.900232
610000 -3116.55 2.26054 0.431801 0.85 -139.599 0.900232
620000 -3114.71 2.28353 0.431846 0.85 -139.599 0.900232
630000 -3102.65 2.44166 0.431964 0.85 -139.599 0.900232
640000 -3122.75 2.19058 0.432026 0.85 -139.599 0.900232
650000 -3094.92 2.53109 0.432095 0.85 -139.599 0.900232
660000 -3072.09 2.8186 0.432027 0.85 -139.599 0.900232
670000 -3080.58 2.72197 0.432034 0.85 -139.599 0.900232
680000 -3095.02 2.51168 0.432164 0.85 -139.599 0.900232
690000 -3115.59 2.28246 0.432163 0.85 -139.599 0.900232
700000 -3096.81 2.47835 0.432114 0.85 -139.599 0.900232
710000 -3119.23 2.32317 0.432175 0.85 -139.599 0.900232
720000 -3086.72 2.61044 0.432198 0.85 -139.599 0.900232
730000 -3123.21 2.29652 0.432245 0.85 -139.599 0.900232
740000 -3127.96 2.21653 0.432441 0.85 -139.599 0.900232
750000 -3096.19 2.50634 0.432329 0.85 -139.599 0.900232
760000 -3145.92 2.00629 0.432452 0.85 -139.599 0.900232
770000 -3105.61 2.45257 0.43249 0.85 -139.599 0.900232
780000 -3097.91 2.467 0.432487 0.85 -139.599 0.900232
790000 -3115.35 2.32763 0.432525 0.85 -139.599 0.900232
800000 -3093.35 2.52634 0.432651 0.85 -139.599 0.900232
810000 -3081.12 2.65767 0.432696 0.85 -139.599 0.900232
820000 -3116.49 2.26795 0.432751 0.85 -139.599 0.900232
830000 -3127.67 2.18419 0.432899 0.85 -139.599 0.900232
840000 -3169.06 1.80897 0.432991 0.85 -139.599 0.900232
850000 -3128.29 2.20428 0.433043 0.85 -139.599 0.900232
860000 -3147.08 1.98343 0.433194 0.85 -139.599 0.900232
870000 -3120.55 2.21949 0.433303 0.85 -139.599 0.900232
880000 -3109.19 2.25949 0.433448 0.85 -139.599 0.900232
890000 -3111.86 2.29499 0.433486 0.85 -139.599 0.900232
900000 -3115.34 2.21821 0.43346 0.85 -139.599 0.900232
910000 -3122.03 2.25136 0.433557 0.85 -139.599 0.900232
920000 -3115.87 2.28732 0.433603 0.85 -139.599 0.900232
930000 -3155.29 1.87842 0.433698 0.85 -139.599 0.900232
940000 -3096.38 2.47195 0.433755 0.85 -139.599 0.900232
950000 -3147.29 1.9569 0.433985 0.85 -139.599 0.900232
960000 -3144.69 1.95867 0.433951 0.85 -139.599 0.900232
970000 -3168.61 1.77045 0.434029 0.85 -139.599 0.900232
980000 -3130.17 2.15045 0.434026 0.85 -139.599 0.900232
990000 -3145.64 2.02583 0.434094 0.85 -139.599 0.900232
1000000 -3163.1 1.75234 0.434224 0.85 -139.599 0.900232
1010000 -3165.07 1.76511 0.434264 0.85 -139.599 0.900232
1020000 -3132.75 2.05099 0.434316 0.85 -139.599 0.900232
1030000 -3150.9 1.93596 0.434391 0.85 -139.599 0.900232
1040000 -3159.59 1.76076 0.434525 0.85 -139.599 0.900232
1050000 -3146.59 1.97132 0.434581 0.85 -139.599 0.900232
1060000 -3132.85 2.04308 0.434636 0.85 -139.599 0.900232
1070000 -3101.29 2.38336 0.434687 0.85 -139.599 0.900232
1080000 -3106 2.36159 0.434736 0.85 -139.599 0.900232
1090000 -3159.17 1.87131 0.434807 0.85 -139.599 0.900232
1100000 -3140.64 2.06532 0.434973 0.85 -139.599 0.900232
1110000 -3177.22 1.67858 0.435022 0.85 -139.599 0.900232
1120000 -3104.21 2.32907 0.435085 0.85 -139.599 0.900232
1130000 -3129.77 2.12348 0.435248 0.85 -139.599 0.900232
1140000 -3118.01 2.2301 0.435296 0.85 -139.599 0.900232
1150000 -3114.42 2.27745 0.435315 0.85 -139.599 0.900232
1160000 -3088.51 2.44616 0.435287 0.85 -139.599 0.900232
1170000 -3116.27 2.28723 0.435283 0.85 -139.599 0.900232
1180000 -3114.29 2.27584 0.435323 0.85 -139.599 0.900232
1190000 -3099.67 2.41811 0.435357 0.85 -139.599 0.900232
1200000 -3146.43 2.01483 0.435373 0.85 -139.599 0.900232
1210000 -3129.84 2.13107 0.435396 0.85 -139.599 0.900232
1220000 -3115.98 2.2911 0.435418 0.85 -139.599 0.900232
1230000 -3123.63 2.18833 0.435416 0.85 -139.599 0.900232
1240000 -3129.85 2.11262 0.435409 0.85 -139.599 0.900232
1250000 -3127.4 2.1376 0.435452 0.85 -139.599 0.900232
1260000 -3125.54 2.16598 0.435464 0.85 -139.599 0.900232
1270000 -3123.55 2.15619 0.435485 0.85 -139.599 0.900232
1280000 -3114.51 2.34563 0.435403 0.85 -139.599 0.900232
1290000 -3125.02 2.26238 0.435364 0.85 -139.599 0.900232
1300000 -3131.96 2.11427 0.435394 0.85 -139.599 0.900232
1310000 -3093.2 2.55849 0.435398 0.85 -139.599 0.900232
1320000 -3124.04 2.2064 0.435425 0.85 -139.599 0.900232
1330000 -3155.53 1.98305 0.43552 0.85 -139.599 0.900232
1340000 -3145.28 1.9992 0.435555 0.85 -139.599 0.900232
1350000 -3140.77 2.02458 0.435569 0.85 -139.599 0.900232
1360000 -3122.66 2.19479 0.435592 0.85 -139.599 0.900232
1370000 -3162.83 1.8107 0.435614 0.85 -139.599 0.900232
1380000 -3131.73 2.09795 0.435683 0.85 -139.599 0.900232
1390000 -3152.06 1.86315 0.435766 0.85 -139.599 0.900232
1400000 -3120.84 2.18542 0.435777 0.85 -139.599 0.900232
1410000 -3146.63 1.94354 0.435864 0.85 -139.599 0.900232
1420000 -3122.81 2.19052 0.435914 0.85 -139.599 0.900232
1430000 -3117.13 2.28074 0.435909 0.85 -139.599 0.900232
1440000 -3154.58 1.8758 0.43588 0.85 -139.599 0.900232
1450000 -3100.4 2.40141 0.435871 0.85 -139.599 0.900232
1460000 -3145.21 1.97279 0.435849 0.85 -139.599 0.900232
1470000 -3095.93 2.41533 0.43583 0.85 -139.599 0.900232
1480000 -3123.96 2.15997 0.435834 0.85 -139.599 0.900232
1490000 -3113.3 2.29997 0.435827 0.85 -139.599 0.900232
1500000 -3088.43 2.43953 0.43582 0.85 -139.599 0.900232
1510000 -3137.48 2.00337 0.435809 0.85 -139.599 0.900232
1520000 -3136.6 2.08511 0.435821 0.85 -139.599 0.900232
1530000 -3121.33 2.21208 0.435904 0.85 -139.599 0.900232
1540000 -3111.58 2.28791 0.435893 0.85 -139.599 0.900232
1550000 -3139.79 1.9437 0.435835 0.85 -139.599 0.900232
1560000 -3097.88 2.41185 0.435847 0.85 -139.599 0.900232
1570000 -3117.74 2.27956 0.435903 0.85 -139.599 0.900232
1580000 -3090.76 2.57912 0.435921 0.85 -139.599 0.900232
1590000 -3146.54 1.97211 0.435929 0.85 -139.599 0.900232
1600000 -3140.04 2.01125 0.435943 0.85 -139.599 0.900232
1610000 -3132.85 2.11674 0.43593 0.85 -139.599 0.900232
1620000 -3092.69 2.52046 0.435931 0.85 -139.599 0.900232
1630000 -3146.49 2.01192 0.435909 0.85 -139.599 0.900232
1640000 -3149 1.97537 0.435927 0.85 -139.599 0.900232
1650000 -3115.45 2.29063 0.435912 0.85 -139.599 0.900232
1660000 -3099.87 2.49129 0.435893 0.85 -139.599 0.900232
1670000 -3131.71 2.11026 0.435948 0.85 -139.599 0.900232
