#   Step          Temp          Press          PotEng         KinEng         TotEng         E_pair    
         0   1.0063351      0.011212448    16.625554      1.5093517      18.134906     -3.9855177    
      1000   1.5967549      0.35990968     16.592088      2.3948928      18.986981     -4.1078072    
      2000   1.5735842     -0.044917492    16.834761      2.3601403      19.194902     -3.818842     
      3000   1.2392324     -0.18800676     17.086611      1.8586627      18.945274     -3.5286317    
      4000   1.1067811     -0.15912792     17.080831      1.6600056      18.740836     -3.5117159    
      5000   1.0804575     -0.13863262     17.004569      1.6205242      18.625093     -3.6116674    
      6000   1.0750871     -0.040952863    16.947346      1.6124694      18.559815     -3.6690691    
      7000   1.0797909     -0.035413768    16.898033      1.6195243      18.517558     -3.7182994    
      8000   1.0670174     -0.10492309     16.882415      1.6003661      18.482781     -3.7513325    
      9000   1.0800253      0.041262157    16.840239      1.619876       18.460115     -3.7953582    
     10000   1.0851396      0.017764571    16.818698      1.6275466      18.446245     -3.818922     
     11000   1.0942701      0.032461747    16.795594      1.6412409      18.436835     -3.8490014    
     12000   1.1078256      0.099565912    16.767706      1.6615723      18.429279     -3.883256     
     13000   1.1276724      0.19020893     16.733136      1.6913395      18.424475     -3.9246951    
     14000   1.1473981      0.1979053      16.705791      1.720925       18.426716     -3.9466812    
     15000   1.1639501      0.11611576     16.683783      1.7457505      18.429534     -3.9785012    
     16000   1.1698587      0.21372167     16.678881      1.7546126      18.433493     -3.9737696    
     17000   1.1740448      0.19105314     16.67615       1.7608911      18.437041     -4.0082125    
     18000   1.1904899      0.28725505     16.65725       1.7855563      18.442806     -4.0292418    
     19000   1.2163083      0.44911355     16.624757      1.8242799      18.449037     -4.0700047    
     20000   1.2326595      0.60616155     16.606286      1.8488043      18.455091     -4.0992881    
     21000   1.2380177      0.83767836     16.6024        1.8568408      18.459241     -4.105081     
     22000   1.2578812      0.70729939     16.572061      1.8866332      18.458694     -4.1502736    
     23000   1.2643563      0.91840749     16.556713      1.8963448      18.453058     -4.1700694    
     24000   1.2640607      0.90640438     16.5436        1.8959015      18.439501     -4.1999899    
     25000   1.2746935      0.8716805      16.512983      1.911849       18.424832     -4.2192711    
     26000   1.2681005      0.91852011     16.502635      1.9019605      18.404596     -4.2332799    
     27000   1.2469305      1.019233       16.509157      1.8702087      18.379365     -4.2340201    
     28000   1.2504129      0.9920409      16.479635      1.8754318      18.355067     -4.2576159    
     29000   1.2513533      0.88508945     16.453854      1.8768423      18.330696     -4.2724338    
     30000   1.2312584      1.0038889      16.457631      1.8467029      18.304334     -4.2536496    
     31000   1.2235679      0.94701421     16.445283      1.8351683      18.280452     -4.2783867    
     32000   1.2191017      1.0749114      16.429725      1.8284696      18.258195     -4.2792703    
     33000   1.2184914      1.1830428      16.408         1.8275544      18.235554     -4.3069992    
     34000   1.2095152      1.0663555      16.395055      1.8140913      18.209147     -4.3001406    
     35000   1.2250146      0.89823408     16.351098      1.8373381      18.188436     -4.3560774    
     36000   1.2065871      0.9440334      16.354591      1.8096996      18.16429      -4.3415417    
     37000   1.1888453      1.0711618      16.355748      1.7830897      18.138838     -4.334842     
     38000   1.202554       1.0626722      16.315423      1.8036506      18.119073     -4.3618557    
     39000   1.1887096      1.0137089      16.313165      1.7828861      18.096051     -4.3731901    
     40000   1.1682069      1.1286844      16.321778      1.7521352      18.073913     -4.3627854    
     41000   1.1574716      1.0809422      16.315164      1.7360338      18.051198     -4.3744488    
     42000   1.1673857      0.94891444     16.278241      1.7509034      18.029144     -4.3937757    
     43000   1.1730726      1.1135079      16.250679      1.759433       18.010112     -4.4195234    
     44000   1.1498078      0.83569216     16.262713      1.7245392      17.987252     -4.4068087    
     45000   1.1370418      0.79923241     16.258383      1.7053922      17.963775     -4.4063842    
