#   Step          Temp          Press          PotEng         KinEng         TotEng         E_pair    
         0   1              0.037365915    17.22405       1.49985        18.7239       -2.8872571    
      1000   0.60022521    -0.0062339548   17.827288      0.90024777     18.727535     -2.5358289    
      2000   0.66239583     0.0027262255   17.743558      0.99349438     18.737052     -2.6395196    
      3000   0.70474982    -0.0060635348   17.689385      1.057019       18.746404     -2.7166114    
      4000   0.74084322    -0.0060435793   17.644187      1.1111537      18.755341     -2.775907     
      5000   0.76316104     0.0016694647   17.621027      1.1446271      18.765654     -2.8325897    
      6000   0.78552199    -0.014002652    17.599074      1.1781652      18.777239     -2.8732894    
      7000   0.80341738    -0.014528045    17.58427       1.2050056      18.789276     -2.8993556    
      8000   0.83959129     0.0036204715   17.542319      1.259261       18.80158      -2.9434143    
      9000   0.83651328     0.0063264754   17.559331      1.2546444      18.813976     -2.9504967    
     10000   0.85360552    -0.003238704    17.546195      1.2802802      18.826475     -2.9715129    
     11000   0.87476609    -0.0040662897   17.52695       1.3120179      18.838968     -2.9923083    
     12000   0.88198413    -0.008405284    17.528537      1.3228439      18.851381     -2.9913149    
     13000   0.89343829    -0.0094539553   17.523749      1.3400234      18.863772     -3.0128724    
     14000   0.91368558    -0.014960293    17.505673      1.3703913      18.876064     -3.0352056    
     15000   0.92703026     0.0008182024   17.497707      1.3904063      18.888113     -3.0500277    
     16000   0.93278432     0.00094449941  17.500852      1.3990366      18.899889     -3.055955     
     17000   0.94505683    -0.010361782    17.49396       1.4174435      18.911404     -3.0718244    
     18000   0.93968631    -0.0064849508   17.513165      1.4093885      18.922553     -3.0599664    
     19000   0.96176109    -0.0022768754   17.49087       1.4424974      18.933368     -3.0924692    
     20000   0.97778788    -0.016478512    17.477276      1.4665352      18.943811     -3.1006559    
     21000   0.97866164    -0.021722353    17.485895      1.4678457      18.95374      -3.1027469    
     22000   0.98335332     0.013463938    17.488209      1.4748825      18.963091     -3.1013695    
     23000   0.99992065    -0.0036311065   17.472197      1.499731       18.971928     -3.1224267    
     24000   1.0192051     -0.0084826644   17.451474      1.5286548      18.980129     -3.1381552    
     25000   1.0178598     -0.0099558402   17.460979      1.5266371      18.987616     -3.1368821    
     26000   1.0186064      0.0056365481   17.466538      1.5277568      18.994295     -3.1334965    
     27000   1.027906      -0.0022675129   17.458421      1.5417048      19.000126     -3.1486602    
     28000   1.0365617      0.0033104059   17.45029       1.554687       19.004977     -3.1652753    
     29000   1.0440452      0.0035714383   17.442785      1.5659113      19.008696     -3.1620839    
     30000   1.0476426      0.0033471615   17.439975      1.5713067      19.011281     -3.1765846    
     31000   1.0484829      0.015440684    17.439902      1.572567       19.012469     -3.184902     
     32000   1.0674068      0.025487722    17.411059      1.6009501      19.012009     -3.2027593    
     33000   1.0569642     -0.011943621    17.424421      1.5852878      19.009709     -3.1933358    
     34000   1.0615308     -0.015272492    17.413472      1.592137       19.005609     -3.2067843    
     35000   1.0662679      0.015194282    17.400311      1.5992419      18.999553     -3.2244056    
     36000   1.0642011     -0.0033083805   17.395557      1.5961421      18.991699     -3.2353688    
     37000   1.0706451      0.0028705367   17.376574      1.6058071      18.982381     -3.2524906    
     38000   1.0714274     -0.00081511185  17.364957      1.6069804      18.971937     -3.2664275    
     39000   1.0721431      0.010815035    17.352478      1.6080538      18.960531     -3.2741736    
     40000   1.0578376     -0.0045274388   17.362088      1.5865978      18.948685     -3.2668897    
     41000   1.068242       0.0054332391   17.334585      1.6022027      18.936788     -3.3031205    
     42000   1.0745899      0.00023010735  17.312738      1.6117236      18.924462     -3.3143859    
     43000   1.0592464     -0.008083509    17.323401      1.5887107      18.912112     -3.3169731    
     44000   1.0664204      0.026163995    17.300279      1.5994706      18.89975      -3.3486055    
     45000   1.06322       -0.0035782396   17.292709      1.5946705      18.887379     -3.3361421    
     46000   1.052591      -0.005322544    17.296254      1.5787286      18.874983     -3.3450662    
     47000   1.0720523      0.0066382847   17.25472       1.6079177      18.862638     -3.3716432    
     48000   1.0607733      0.0096264485   17.259143      1.5910008      18.850144     -3.3804991    
     49000   1.0520163     -0.00092482992  17.259885      1.5778666      18.837752     -3.3773974    
     50000   1.0536027     -0.016537516    17.245314      1.580246       18.82556      -3.3929887    
     51000   1.0564407     -0.010448882    17.22888       1.5845026      18.813383     -3.4026039    
     52000   1.0453994     -0.014955197    17.233375      1.5679423      18.801317     -3.401641     
     53000   1.0486547      9.6332945e-05  17.21656       1.5728247      18.789385     -3.4043194    
     54000   1.051569       0.0061303589   17.200561      1.5771957      18.777757     -3.4193814    
     55000   1.0482446     -0.004671739    17.193984      1.5722096      18.766194     -3.4371186    
     56000   1.0518224     -0.0010328239   17.177161      1.5775758      18.754737     -3.4425941    
     57000   1.0417176     -0.0045371397   17.181077      1.5624201      18.743497     -3.4435786    
     58000   1.0473913      0.0041680764   17.161574      1.5709298      18.732504     -3.462913     
     59000   1.0417624     -0.0033144116   17.159092      1.5624873      18.72158      -3.4613491    
     60000   1.0450513     -0.015559742    17.143276      1.5674202      18.710697     -3.4723862    
     61000   1.0302485     -0.0072123802   17.154675      1.5452182      18.699893     -3.4751986    
     62000   1.0337404     -0.017230565    17.138915      1.5504555      18.689371     -3.4757412    
     63000   1.0330736      0.028424759    17.12956       1.5494554      18.679015     -3.4994555    
     64000   1.0281024     -0.015982921    17.126734      1.5419994      18.668733     -3.5151038    
     65000   1.0185228     -0.016637367    17.130916      1.5276314      18.658547     -3.4976983    
     66000   1.0365568     -0.0081080401   17.094015      1.5546797      18.648694     -3.5196955    
     67000   1.025681      -0.01501872     17.100665      1.5383677      18.639032     -3.5208732    
     68000   1.0218252     -0.0064050489   17.097006      1.5325846      18.629591     -3.5222714    
     69000   1.024499       0.015787651    17.08368       1.5365948      18.620275     -3.5278943    
     70000   1.0100065     -0.00091762327  17.096285      1.5148583      18.611144     -3.5259381    
     71000   1.0215412      0.001003333    17.069974      1.5321585      18.602133     -3.5516102    
     72000   1.022845       0.012786763    17.05923       1.5341141      18.593344     -3.5430747    
     73000   1.0163237      0.0058238846   17.060414      1.5243331      18.584747     -3.5487167    
